,desc,InitialInterestRate,InitialInterestRate,InitialInterestRate
,,mean,std,count
800,Private Households,5.536031746031746,0.8624282735301103,126
208,Conveyor and Conveying Equipment Manufacturing,5.608472222222222,1.3252357321233084,72
722,Packaging Machinery Manufacturing,5.6737,1.5011140642530485,60
918,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",5.693318007662837,1.234349459004097,261
299,Fabricated Pipe and Pipe Fitting Manufacturing,5.696818181818181,1.294019568382427,66
1,Adhesive Manufacturing,5.6975,0.9075130312897907,52
1009,Veterinary Services,5.735391783567152,1.0720809467744437,4990
433,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",5.780431034482758,1.3675064657093234,58
413,Hotels (except Casino Hotels) and Motels,5.785692240341466,0.8646252621671785,9137
473,Lessors of Miniwarehouses and Self-Storage Units,5.791015625000001,0.9699807703266256,1152
475,Lessors of Nonresidential Buildings (except Miniwarehouses),5.798759226713529,0.9298923617953941,2845
192,Concrete Block and Brick Manufacturing,5.805890410958904,1.0860233724930677,73
776,Polystyrene Foam Product Manufacturing,5.807843137254902,0.9898854756495626,51
525,Metal Tank (Heavy Gauge) Manufacturing,5.808839285714286,1.450635907916822,56
579,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",5.822631578947369,1.4124086902418427,57
434,Industrial Valve Manufacturing,5.829574626865673,1.0964362118105226,134
74,Analytical Laboratory Instrument Manufacturing,5.835337662337663,1.3942196799869397,77
851,Rolled Steel Shape Manufacturing,5.8452702702702695,1.28174348615841,74
916,Soybean Farming,5.847666666666667,1.2424147710313318,60
621,Optical Instrument and Lens Manufacturing,5.8524637681159435,1.2821654543561902,69
54,All Other Plastics Product Manufacturing,5.862384531590413,1.2535507349976023,918
16,Aircraft Engine and Engine Parts Manufacturing,5.878970588235294,1.2281355116366164,68
745,Petroleum Bulk Stations and Terminals,5.880618556701032,0.8302093290663074,97
476,Lessors of Other Real Estate Property,5.888735059760954,1.1094503069352764,502
117,Boat Building,5.901814814814815,1.2360712930773565,135
364,Gasoline Stations with Convenience Stores,5.911878418174166,0.9292730206601655,7131
211,Corn Farming,5.913921568627451,1.262212467742848,51
520,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",5.916940298507463,1.1613739105120673,67
796,Printed Circuit Assembly (Electronic Assembly) Manufacturing,5.91828125,1.1547769037440243,64
811,RV (Recreational Vehicle) Parks and Campgrounds,5.93640350877193,0.9574472075378563,513
382,Grain and Field Bean Merchant Wholesalers,5.941982758620689,1.5582477448989809,116
825,Refrigerated Warehousing and Storage,5.953492063492063,1.1949087679173138,63
429,Industrial Mold Manufacturing,5.962339901477831,1.282469989896118,203
600,Offices of Dentists,5.96580335051543,1.213087581309327,11640
359,Funeral Homes and Funeral Services,5.972044605809123,1.0761874445267838,1928
748,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),5.972502325581396,1.380509620361428,215
465,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",5.977169811320755,0.9667319598254942,53
865,Sawmills,5.991541218637993,1.2020705118175234,279
766,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,5.992031250000001,1.3295496070993722,64
197,Construction Machinery Manufacturing,5.993265486725663,1.2661512831192911,113
627,Other Aircraft Parts and Auxiliary Equipment Manufacturing,5.995308056872038,1.2350162038194812,211
765,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,5.9961363636363645,1.3983947436706154,132
455,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,5.998068322981367,1.1896265176738436,161
1033,Wood Office Furniture Manufacturing,6.002941176470589,1.1406855574872454,102
37,All Other Miscellaneous Electrical Equipment and Component Manufacturing,6.0039584569732956,1.2153740794631687,337
57,All Other Rubber Product Manufacturing,6.013301886792452,1.2046961456045675,106
237,Cutting Tool and Machine Tool Accessory Manufacturing,6.018578680203044,1.2516702148273737,197
792,Precision Turned Product Manufacturing,6.0190767123287685,1.1933249074574754,365
657,Other Electronic Component Manufacturing,6.023205741626793,1.2793086176515984,209
357,Fuel Dealers,6.023539094650208,1.3536350759786908,243
381,Golf Courses and Country Clubs,6.024025000000002,1.2658363949666067,400
521,Metal Heat Treating,6.024061855670102,0.9754708031513225,97
680,Other Measuring and Controlling Device Manufacturing,6.027674242424243,1.379948652082721,132
441,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",6.0281519999999995,1.2514051911815487,125
213,Corrugated and Solid Fiber Box Manufacturing,6.031203703703704,1.3937368029416477,108
169,Coin-Operated Laundries and Drycleaners,6.031851274787532,1.1778715823076453,2118
780,Postharvest Crop Activities (except Cotton Ginning),6.032395833333333,1.3554635989145762,96
491,Machine Shops,6.035936445664959,1.3485492064464315,2549
24,All Other Converted Paper Product Manufacturing,6.036481481481482,1.3158589212329868,108
453,Iron and Steel Forging,6.041379310344826,1.0137739443606921,87
125,Bowling Centers,6.041525373134327,0.9712628158751514,670
566,New Car Dealers,6.04170774647887,1.5072515448828976,568
406,Home Centers,6.045069767441861,1.2681853323413865,215
817,Ready-Mix Concrete Manufacturing,6.0482885906040265,1.2145739899090302,149
38,All Other Miscellaneous Fabricated Metal Product Manufacturing,6.050913173652686,1.3141553263100307,1336
421,Ice Manufacturing,6.052542372881356,0.9068676120088095,118
400,Heating Equipment (except Warm Air Furnaces) Manufacturing,6.060000000000001,1.5134067529914093,75
962,Telephone Answering Services,6.061494252873561,1.4866769004601958,87
348,Freestanding Ambulatory Surgical and Emergency Centers,6.069655581947748,1.185807626190631,421
439,Institutional Furniture Manufacturing,6.074430379746835,1.3648600443282455,79
40,All Other Miscellaneous General Purpose Machinery Manufacturing,6.076390134529149,1.3310197899208263,446
762,Plastics Bag and Pouch Manufacturing,6.0825316455696194,1.4103713534934517,79
874,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",6.082771428571428,1.5426702726721404,70
764,Plastics Material and Resin Manufacturing,6.083065476190476,1.3805055185348452,168
153,Cheese Manufacturing,6.084939759036144,1.2823276982094176,83
21,All Other Basic Organic Chemical Manufacturing,6.086981132075472,2.143947280588972,53
690,Other Nonhazardous Waste Treatment and Disposal,6.087496732026145,1.2698127976625813,153
154,Chicken Egg Production,6.091287128712871,1.0017374423992722,505
842,Residential Intellectual and Developmental Disability Facilities,6.0913815789473675,1.5997714237978315,152
103,Bare Printed Circuit Board Manufacturing,6.09530303030303,1.0994225333146062,66
105,Bed-and-Breakfast Inns,6.0966649395509505,1.132035907489142,579
405,Hog and Pig Farming,6.099402985074628,1.5355582151491902,67
793,Prefabricated Metal Building and Component Manufacturing,6.101830985915493,1.3595950688986376,142
952,Surgical Appliance and Supplies Manufacturing,6.102441860465118,1.301069191920532,215
593,Office Machinery and Equipment Rental and Leasing,6.105140186915887,1.33895859595122,107
64,All Other Transportation Equipment Manufacturing,6.106424242424241,1.3005542681052455,165
151,Cemeteries and Crematories,6.110335570469799,0.9982121965465565,149
97,Automotive Oil Change and Lubrication Shops,6.110578729281769,1.0801950034702235,724
142,Car Washes,6.112073911452616,1.2911411042370513,2733
674,Other Industrial Machinery Manufacturing,6.112361809045227,1.5459641004066704,199
910,"Soil Preparation, Planting, and Cultivating",6.118125,1.2482604149500829,304
683,Other Millwork (including Flooring),6.118231343283584,1.382421039806094,268
394,Hardware Stores,6.120397196261679,1.2153176895852056,1498
646,Other Communications Equipment Manufacturing,6.124477611940298,1.5466457191457217,67
119,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",6.130000000000001,1.441275099709795,93
204,Continuing Care Retirement Communities,6.132932330827068,1.2479814838701928,266
696,Other Poultry Production,6.133805157593128,0.9103953744332265,349
824,Recyclable Material Merchant Wholesalers,6.134364981504315,1.39539316905798,811
649,Other Concrete Product Manufacturing,6.134858757062148,1.37439825979517,177
784,Poultry Processing,6.137450980392157,1.4230865653743696,51
536,Motion Picture Theaters (except Drive-Ins),6.138552631578949,1.1429527845463676,228
531,Miscellaneous Intermediation,6.138565789473684,1.370440146673336,76
754,Photographic Equipment and Supplies Merchant Wholesalers,6.138676470588236,1.0993511036017303,68
628,Other Airport Operations,6.140675675675676,1.4728344503135302,74
495,Manufactured (Mobile) Home Dealers,6.141111111111111,1.3445623074971786,54
996,Truss Manufacturing,6.141428571428572,1.0288712766406225,56
239,Dairy Cattle and Milk Production,6.142489795918367,1.4968198272278255,245
890,Sheet Metal Work Manufacturing,6.142686419753087,1.3446966763638672,405
339,Food Product Machinery Manufacturing,6.143466666666667,1.5272971120474461,75
901,Small Arms Ammunition Manufacturing,6.14457627118644,1.2564349154128975,59
630,Other Animal Food Manufacturing,6.14798611111111,1.38867174040626,144
591,Office Equipment Merchant Wholesalers,6.148478260869566,1.402809980053143,230
41,All Other Miscellaneous Manufacturing,6.150812368236112,1.4172288655880234,1423
540,Motor Vehicle Body Manufacturing,6.151911764705882,1.2716639203919762,68
35,All Other Miscellaneous Chemical Product and Preparation Manufacturing,6.152896226415093,1.5594584333331079,212
392,Hardware Manufacturing,6.153691780821918,1.426496168287485,146
968,Testing Laboratories,6.154087179487178,1.2283729274506063,585
661,Other Fabricated Wire Product Manufacturing,6.154655555555554,1.1750686822968508,90
118,Boat Dealers,6.157598784194531,1.2363274230848744,329
363,"Gasket, Packing, and Sealing Device Manufacturing",6.157966101694915,1.1911220147421955,59
604,Offices of Optometrists,6.158091536338537,1.308846092999758,2174
750,Pharmacies and Drug Stores,6.161306472243554,1.2783876418587934,3909
1014,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,6.165432692307693,1.462570962905644,208
284,"Electroplating, Plating, Polishing, Anodizing, and Coloring",6.166132812500002,1.2888286542200738,256
519,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",6.166853233830845,1.3998305493646919,402
309,Farm and Garden Machinery and Equipment Merchant Wholesalers,6.1684978540772555,1.3846186675475807,233
605,Offices of Other Holding Companies,6.168917112299461,1.1413557697366796,374
524,Metal Service Centers and Other Metal Merchant Wholesalers,6.17127400468384,1.4982071546572988,427
718,Outdoor Power Equipment Stores,6.177845070422535,1.3675449426831643,284
771,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,6.178848684210528,1.4279731268323501,304
180,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",6.181559633027525,1.5104439954995372,109
497,Marinas,6.183223443223443,1.2078151813872735,273
130,Broilers and Other Meat Type Chicken Production,6.183817120622567,0.8881494603414142,3598
725,Paint and Coating Manufacturing,6.185743243243243,1.4453723203769533,148
639,Other Chemical and Allied Products Merchant Wholesalers,6.187815217391305,1.5663253995627737,368
88,Assisted Living Facilities for the Elderly,6.189456317689531,1.1949413908062054,1385
682,Other Metal Valve and Pipe Fitting Manufacturing,6.191940298507463,1.5505885869819556,67
108,"Beer, Wine, and Liquor Stores",6.192134332833584,1.2744727846988462,6670
863,Saw Blade and Handtool Manufacturing,6.19296875,1.5426195816244235,64
158,Chocolate and Confectionery Manufacturing from Cacao Beans,6.196746666666667,1.1943924283052003,75
305,Farm Machinery and Equipment Manufacturing,6.1995275590551175,1.3685126083288763,127
814,Radio Stations,6.200683060109291,1.2588077378913753,183
623,Ornamental and Architectural Metal Work Manufacturing,6.204722222222223,1.392938642588217,216
836,Repossession Services,6.205138888888888,1.270578212674329,72
749,Pharmaceutical Preparation Manufacturing,6.209245810055865,1.1986515672568918,179
873,Seafood Product Preparation and Packaging,6.213345454545453,1.8352083363232734,55
508,Meat and Meat Product Merchant Wholesalers,6.213437641723355,1.4954749052141718,441
612,Oil and Gas Field Machinery and Equipment Manufacturing,6.2143428571428565,1.4756969528677955,105
199,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,6.214483739837397,1.51297315545329,246
715,Other Warehousing and Storage,6.216074074074074,1.4061592106925043,135
507,Meat Processed from Carcasses,6.218922155688624,1.3358423315899275,167
912,Solid Waste Collection,6.2216569416498935,1.372276836512701,994
277,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",6.224397622192865,1.5237236897458644,757
785,Poultry and Poultry Product Merchant Wholesalers,6.227166666666666,1.4572757997065133,66
263,Drilling Oil and Gas Wells,6.235031746031747,1.2654149987194434,126
75,Animal (except Poultry) Slaughtering,6.235726495726495,1.2133221110818844,117
552,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",6.236333126550868,1.366425500205771,403
254,Direct Property and Casualty Insurance Carriers,6.237075630252098,1.30450398495902,119
152,Charter Bus Industry,6.237083333333332,1.3509127545871005,192
124,Bottled Water Manufacturing,6.237943925233647,1.260930128626796,107
551,Motor and Generator Manufacturing,6.241551724137931,1.5608373840291434,58
235,Cut Stone and Stone Product Manufacturing,6.244179104477611,1.371528971062964,402
854,"Roofing, Siding, and Insulation Material Merchant Wholesalers",6.244246031746033,1.4473002546065306,126
892,Shellfish Fishing,6.245958333333333,1.4276935763073013,120
1031,Wood Container and Pallet Manufacturing,6.2475000000000005,1.42859429038677,332
587,Nursery and Tree Production,6.247536679536678,1.2773469392090628,259
194,Confectionery Manufacturing from Purchased Chocolate,6.250434782608696,1.2909281143500737,69
484,Linen Supply,6.25111111111111,1.428809978812982,126
589,Nursing Care Facilities (Skilled Nursing Facilities),6.2513304347826075,1.3795194381267963,575
953,Surgical and Medical Instrument Manufacturing,6.253875968992246,1.4513516094606704,258
662,Other Farm Product Raw Material Merchant Wholesalers,6.254358974358973,1.9175691259470014,117
230,Custom Architectural Woodwork and Millwork Manufacturing,6.25536332179931,1.5727664794205545,289
990,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,6.255493464052286,1.5964025936275439,306
883,Semiconductor and Related Device Manufacturing,6.261881818181817,1.5090202102951538,110
308,Farm Supplies Merchant Wholesalers,6.2632130177514815,1.48079191326595,338
428,Industrial Machinery and Equipment Merchant Wholesalers,6.263558319039438,1.5309259762198295,1166
371,General Rental Centers,6.264267676767673,1.245472903552786,396
300,Fabricated Structural Metal Manufacturing,6.265732323232322,1.3756227536169923,594
607,Offices of Physicians (except Mental Health Specialists),6.266970858551941,1.4209101650585079,8922
769,Plate Work Manufacturing,6.267320261437908,1.5039561892310054,153
797,Printing Ink Manufacturing,6.27,1.3348040907879755,52
128,"Brick, Stone, and Related Construction Material Merchant Wholesalers",6.270225225225227,1.5023575931431974,333
176,Commercial Printing (except Screen and Books),6.2712980588603555,1.429423055205971,1597
327,Floor Covering Stores,6.272487236403991,1.3455142458072458,901
878,Securities Brokerage,6.274251968503937,1.1995452310791892,127
572,Newspaper Publishers,6.276029411764707,1.4259555327557363,204
822,Recreational Vehicle Dealers,6.276884735202491,1.2775573430564708,321
285,Elementary and Secondary Schools,6.2770139720558875,1.3184688383895888,501
402,"Highway, Street, and Bridge Construction",6.280081595648226,1.43973131651483,1103
684,Other Miscellaneous Durable Goods Merchant Wholesalers,6.2811832524271765,1.5025790279797022,2472
170,Collection Agencies,6.288523206751054,1.4436106791276406,237
685,Other Miscellaneous Nondurable Goods Merchant Wholesalers,6.288533651551311,1.4861614503264031,2095
432,Industrial Supplies Merchant Wholesalers,6.291303308823525,1.5035114803533791,544
650,Other Construction Material Merchant Wholesalers,6.291356459330144,1.4343957525000939,418
1024,Wineries,6.292930780559644,1.3441872388025826,679
490,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",6.295865821678319,1.5183350455170899,572
942,Supermarkets and Other Grocery (except Convenience) Stores,6.298395511921493,1.405728131538057,4278
315,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",6.299280575539568,1.391236880760452,139
155,Child Day Care Services,6.299566007047998,1.3305867324261182,7378
369,General Line Grocery Merchant Wholesalers,6.300601208459213,1.6107179936120375,662
372,General Warehousing and Storage,6.301890173410406,1.3350163434125133,346
66,All Other Traveler Accommodation,6.309436241610739,1.320396768390081,149
613,Oil and Gas Pipeline and Related Structures Construction,6.309506172839505,1.3891137540535659,162
672,Other Heavy and Civil Engineering Construction,6.3128820224719036,1.4077506939926725,890
588,"Nursery, Garden Center, and Farm Supply Stores",6.312918472652212,1.3674377229686419,969
488,Logging,6.314143033292228,1.3683050835754584,811
637,Other Building Material Dealers,6.3152409177820195,1.4519801664128558,1569
583,Nonscheduled Chartered Passenger Air Transportation,6.317727272727272,1.2348633527641837,121
200,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",6.318667763157896,1.443311403248147,304
884,Septic Tank and Related Services,6.319950236966825,1.3713135163003636,422
965,Television Broadcasting,6.326666666666667,1.8470065872468713,75
477,Lessors of Residential Buildings and Dwellings,6.32754518072289,1.4861720372273608,332
723,Packaging and Labeling Services,6.331697247706423,1.5069098342471205,327
340,Food Service Contractors,6.332665794066308,1.5164818458015006,1146
950,Support Activities for Rail Transportation,6.333728813559323,1.7717475284306992,59
253,Direct Mail Advertising,6.336140350877194,1.2934221989049601,228
717,Outdoor Advertising,6.336447368421055,1.359682559429204,228
850,Roasted Nuts and Peanut Butter Manufacturing,6.342769230769231,1.1956882271472196,65
815,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,6.34366972477064,1.449686211609422,109
17,Aircraft Manufacturing,6.346666666666667,1.6774989319420348,51
704,Other Snack Food Manufacturing,6.346852791878172,1.4504092468407832,197
799,Printing and Writing Paper Merchant Wholesalers,6.348782608695652,1.4592963624223492,115
427,Industrial Launderers,6.349599999999999,1.4707657210616516,65
257,Distilleries,6.350277108433734,1.2699771434024179,415
823,Recreational and Vacation Camps (except Campgrounds),6.35168656716418,1.2343443872901696,134
86,Asphalt Paving Mixture and Block Manufacturing,6.35578125,1.3729668850464714,96
681,Other Metal Container Manufacturing,6.356451612903226,1.3356181067687365,62
643,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,6.356774074074068,1.4580021168116946,810
758,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",6.362753564154782,1.5369506645523412,491
530,Miscellaneous Financial Investment Activities,6.363140703517587,1.4395758390109736,199
1016,Water and Sewer Line and Related Structures Construction,6.36454350927246,1.4767939472882123,701
898,Sign Manufacturing,6.365227686703092,1.3972249339401281,1098
985,Tortilla Manufacturing,6.368225806451613,1.2898221051484842,62
324,Flat Glass Manufacturing,6.369903846153846,1.397537221218383,52
173,Commercial Bakeries,6.370628755364808,1.412152989626484,932
933,Stationery and Office Supplies Merchant Wholesalers,6.377054187192116,1.4550180877442978,203
548,Motor Vehicle Supplies and New Parts Merchant Wholesalers,6.378046307884853,1.6382137122566838,799
107,Beer and Ale Merchant Wholesalers,6.380281690140845,1.4421347892846408,213
893,Ship Building and Repairing,6.383561643835619,1.4622170855160455,73
1032,Wood Kitchen Cabinet and Countertop Manufacturing,6.3860614152202935,1.4365399985194012,749
726,Paint and Wallpaper Stores,6.388121827411166,1.2630119795918653,197
172,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",6.389719101123595,1.5564985397648445,89
943,Support Activites for Printing,6.390326086956521,1.4104402329558539,92
1035,Wood Window and Door Manufacturing,6.392483660130718,1.4725091729880275,153
905,Soap and Other Detergent Manufacturing,6.393916666666667,1.2691691822468998,120
940,Structural Steel and Precast Concrete Contractors,6.393990384615383,1.5114134260637087,416
248,Diagnostic Imaging Centers,6.395147991543341,1.2466272648125971,473
205,Convenience Stores,6.395505885299316,1.47670572190472,3993
55,"All Other Professional, Scientific, and Technical Services",6.395849954254373,1.4891994908916366,4372
279,Electromedical and Electrotherapeutic Apparatus Manufacturing,6.398876404494382,1.7009058002631252,89
988,Toy and Hobby Goods and Supplies Merchant Wholesalers,6.399567088607596,1.4722458111184131,395
58,All Other Specialty Food Stores,6.401277683854603,1.3376522686336858,2366
398,Hazardous Waste Treatment and Disposal,6.402444444444444,1.5172400930637184,81
974,Timber Tract Operations,6.403658536585365,1.4608035267248154,82
642,Other Commercial Equipment Merchant Wholesalers,6.405742500000002,1.495071869822178,400
245,Dental Equipment and Supplies Manufacturing,6.406761904761906,1.4206708431894577,105
609,Offices of Podiatrists,6.4070538720538694,1.4525749041160019,594
896,"Showcase, Partition, Shelving, and Locker Manufacturing",6.408367346938776,1.4793490445543327,98
45,All Other Miscellaneous Textile Product Mills,6.4092977777777795,1.479167211173609,225
127,Breweries,6.414956875220923,1.2375679614642756,2829
500,Marketing Research and Public Opinion Polling,6.414964143426295,1.5801995705318872,251
356,Fruit and Vegetable Markets,6.416250000000002,1.4173220987082928,344
740,Perishable Prepared Food Manufacturing,6.416559405940596,1.4791727111425166,202
801,Private Mail Centers,6.416979166666667,1.2440743217932926,480
368,"General Freight Trucking, Long-Distance, Truckload",6.4174130643612175,1.7193338777817029,9369
595,Office Supplies and Stationery Stores,6.4180839694656475,1.4076823719290021,524
280,Electronic Computer Manufacturing,6.418760869565217,1.4142864652977878,92
598,Offices of Certified Public Accountants,6.419659399096011,1.4331173203569123,3761
420,Ice Cream and Frozen Dessert Manufacturing,6.421937086092715,1.3804238741925072,302
332,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",6.422000000000001,1.5703490023430742,370
15,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,6.422461538461538,1.7115454105304047,130
926,Sporting Goods Stores,6.424119532554259,1.4598609563103275,2995
978,Tire and Tube Merchant Wholesalers,6.426641221374046,1.6094211146042168,131
322,Fish and Seafood Merchant Wholesalers,6.428241895261841,1.8343183240213239,401
259,Dog and Cat Food Manufacturing,6.430487804878048,1.4163170049309644,123
240,Dairy Product (except Dried or Canned) Merchant Wholesalers,6.430596026490067,1.7573932330919682,151
994,Truck Trailer Manufacturing,6.431818181818182,1.7490211025419002,88
638,Other Business Service Centers (including Copy Shops),6.434004854368933,1.223649260759951,412
47,All Other Miscellaneous Wood Product Manufacturing,6.434169921875001,1.3486537624868928,512
721,Packaged Frozen Food Merchant Wholesalers,6.436318965517243,1.5983452649951002,232
156,Child and Youth Services,6.437959866220738,1.361901620980573,299
481,Limited-Service Restaurants,6.438986390195287,1.3629911086923598,14034
342,Footwear Merchant Wholesalers,6.43921768707483,1.550605791989305,147
100,Baked Goods Stores,6.440895430579962,1.303010150258451,1138
562,Natural Gas Distribution,6.44377049180328,1.6995501011879837,61
73,Amusement and Theme Parks,6.4447530864197535,1.2282574083211586,243
94,"Automotive Body, Paint, and Interior Repair and Maintenance",6.445197394136814,1.4700279780443044,3070
492,Machine Tool Manufacturing,6.447595121951221,1.4240866412338806,205
599,Offices of Chiropractors,6.4491123689029655,1.295507277383166,6007
177,Commercial Screen Printing,6.4507517241379215,1.5433177194825176,1015
362,Furniture Stores,6.454712267180467,1.5472632550395848,1557
437,Inland Water Freight Transportation,6.456470588235295,1.3900515436909695,51
352,"Frozen Fruit, Juice, and Vegetable Manufacturing",6.458947368421053,1.6107947064930912,57
899,Site Preparation Contractors,6.45949386240369,1.5948706431092978,3503
644,Other Commercial and Service Industry Machinery Manufacturing,6.460710059171597,1.7083257516548942,169
185,Computer Facilities Management Services,6.461983606557378,1.451019520115662,305
1029,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",6.4620295434198685,1.652266743747986,1117
99,Automotive Transmission Repair,6.462710437710437,1.3076139337182822,297
98,Automotive Parts and Accessories Stores,6.463838174273856,1.5359789106996276,2169
928,Sporting and Recreational Goods and Supplies Merchant Wholesalers,6.463858987090363,1.4959479245011358,1007
972,Third Party Administration of Insurance and Pension Funds,6.464329896907216,1.5505650228334074,97
42,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,6.466949152542374,1.9864569518385966,59
454,Iron and Steel Mills and Ferroalloy Manufacturing,6.467692307692308,1.2326117900773579,52
618,Ophthalmic Goods Manufacturing,6.469038461538461,1.3466185095476784,52
39,All Other Miscellaneous Food Manufacturing,6.469734806629832,1.4010077144290045,543
992,Travel Trailer and Camper Manufacturing,6.4708695652173915,1.5227623304670739,69
70,Ambulance Services,6.476314199395773,1.5691112166033663,331
659,Other Electronic and Precision Equipment Repair and Maintenance,6.476380846325167,1.4235031642571687,449
885,Service Establishment Equipment and Supplies Merchant Wholesalers,6.476741206030149,1.651454606777737,398
506,Meat Markets,6.480180412371129,1.426497251557009,776
449,Investment Advice,6.480655339805812,1.3468525408552043,2266
526,Metal Window and Door Manufacturing,6.480814814814814,1.5491625334362962,135
18,All Other Amusement and Recreation Industries,6.48209533898305,1.332771120225265,3304
292,Environmental Consulting Services,6.486351477449454,1.593009009683127,643
178,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,6.486361960213483,1.540239588911837,2061
